comment_id,text,video_id
UgzIMr4MU6dZ_zi5DhZ4AaABAg,"So excited to be learning about economics!! I recently switched my major from computer science & engineering to city & regional planning, so I will be taking principles of microeconomics. I never took econ in high school, so this course is helping me feel prepared and ready to tackle micro! (I would otherwise be nervous because my professor does not have the best reviews.) However, being able to understand macroeconomics through this course will certainly be helpful in my life and career even if it’s not a required course for my major!! So excited to be diving into planning :)",B43YEW2FvDs
UgzmBoAuv8m3P8FIK7R4AaABAg,She love xin Jinping!,B43YEW2FvDs
UgzGA8syhXCgXKjyKz94AaABAg,This video is produced a while ago and even then the video is excellent in 2024 =) Continue these incredible videos Crash Course ❤❤,B43YEW2FvDs
UgzmPHlplEEM-QRXCq54AaABAg,Jacob your pace !!😢😢😢😢,B43YEW2FvDs
UgzTrCdKjeZvT1bUQwl4AaABAg,She reminded me of holly from the office ♥️,B43YEW2FvDs
UgyouopU0TMv5I1GefZ4AaABAg,"Wow, great vid. Did anyone understand the hidden message behind her changing her shirt?",B43YEW2FvDs
UgzxMvKpeHh-82o9Ked4AaABAg,Compliment time: Adriene Hill reminds me of Lorelai Gilmore (similar personality).,B43YEW2FvDs
UgyS6ooUJBljqj0knmJ4AaABAg,uuuuuhhhhhhhh 3:33,B43YEW2FvDs
UgyMkGjnTq4jxthG04V4AaABAg,Nobody cares about buying a new iphone if there's a bomb dropping on your head 😂,B43YEW2FvDs
UgzxMgvtBGdeSnEo5Pd4AaABAg,Gracias profe claudio 🛐,B43YEW2FvDs
UgwYVUP4d0xTvvePqZZ4AaABAg,"What I keep noticing is that free market economies are excellent at creating rapid economic growth, but economies that are more socialized are better at closing the socioeconomic divide. What if we started planning economies that are mostly free markets during times of economic instability, but more socialized during times of prosperity gained by capitalism? That way, we would experience necessary economic booms during times of crisis, and we would radically reduce poverty once our economy reaches a safe zone. And if we need more economic growth afterward, reduce government intervention temporarily and do the cycle again. Why don’t we make this about the long-term benefits we could give to the overall economy as well as people in need? How about we make laws that account for these time-dependent nuances?",B43YEW2FvDs
UgyGW4ouALGtsHv7w4V4AaABAg,Thank you very much!,B43YEW2FvDs
UgwSD1ElbC4wP0cqBat4AaABAg,Thanks for this Wonderful Course Team!,B43YEW2FvDs
UgxgZx4Ei63AEBp-5Gt4AaABAg,Jacob loves AC/DC,B43YEW2FvDs
Ugy4L-0HZkRXllpO_mF4AaABAg,"Fantastic Video! A bunch of my favorite quotations all wrapped into one vid, this one is the best I've seen",B43YEW2FvDs
UgwKeihEuzzvsFjLpPd4AaABAg,"As a 30 year old who NEVER paid attention in school, I LOVE THESE VIDEOS!

Thank you to everyone involved.",B43YEW2FvDs
Ugzu7onD5bNoxbwyym14AaABAg,This video was amazing !,B43YEW2FvDs
UgypAJ1O_71_IJ8oTmx4AaABAg,6:32 don't they also get money from printing?,B43YEW2FvDs
Ugxyuqln2RPh31XTzJ94AaABAg,"I really love the video, but they talking too fast!",B43YEW2FvDs
UgxdqSXXYf7VmVbY4714AaABAg,Excellent video! Thanks so much!,B43YEW2FvDs
UgwjgBUVkEiA6bH8_nN4AaABAg,Awesome class,B43YEW2FvDs
Ugxvd2b9Te39cdeps494AaABAg,"oh wait a min..
JACOB CLIFFORD THE BEST ECON TEACHER!!",B43YEW2FvDs
UgztW_PjopL0XTqIyD54AaABAg,"""actually it will end when humanity ends""",B43YEW2FvDs
UgyLThAB2j5JFlRzVVZ4AaABAg,"this was for my social studies class and i forgotto do it, so currently up at 10:00 completing it",B43YEW2FvDs
Ugyu9MuK9mS4ZCXCHRF4AaABAg,"It's heart breaking that the only content we have of Adrienne is this, i'm totally in love with her teaching skills and could listen to her for hours! Dream teacher.",B43YEW2FvDs
UgyoAmej-W8dPyZ0G494AaABAg,"I love economics and I love CrashCourse. But the videos are too fast-paced and even if you already understand the concepts well, it's too hard to follow along with the video because it jumps forward from one topic to the next too quickly. 
I set the speed to .75 to be able to understand what's going on but the audio is slightly choppy and the voices sound drunk.",B43YEW2FvDs
UgwSBVkdcvcbfyG9Q0Z4AaABAg,WINK WINK,B43YEW2FvDs
Ugzp2oOvSzS2v-vKy054AaABAg,Michael Scott and Holly,B43YEW2FvDs
Ugxwic1VhUFkVtwbd6t4AaABAg,I hate this,B43YEW2FvDs
Ugy1S4t-8HctlPfDvbZ4AaABAg,"June 2020, it's good time to talk about economics",B43YEW2FvDs
UgzwIL1SJboEDArWwwh4AaABAg,"Until about 5 min in hosts talked too fast and had trouble following what was being said.  I was watching for course from WGU,",B43YEW2FvDs
UgyRVAbXmWaBKNlM4ZR4AaABAg,i actually prefer the blue shirt but okay,B43YEW2FvDs
UgxAImyNEbbkELJNOwF4AaABAg,"Good video, informative. BUT. What the hell is the crazy mad rush? Why are you talking so ridiculously quickly please? What is this about?!",B43YEW2FvDs
UgxYDuw5uliN_Uisj094AaABAg,CliFFoRD !!?!!,B43YEW2FvDs
UgyvqCn34A_BRo5946h4AaABAg,"""There are no solutions, only trade-offs"" -Thomas Sowell",B43YEW2FvDs
UgymPU8RI_cPp5ohuNp4AaABAg,COMMIES REEEE,B43YEW2FvDs
Ugy1BWyimxPgJqvR3bZ4AaABAg,So interesting the medical services are not even mentioned in public services.,B43YEW2FvDs
UgxqZspdzCH032PH_cx4AaABAg,"Minute 9:11, holy cow! So true...",B43YEW2FvDs
UgzRyGfJQeWrucR3oJp4AaABAg,"“It’s hard to find support for command economies outside of North Korea...”

*Bernie Sanders has entered the chat*",B43YEW2FvDs
Ugxegz6Z8U2E2ntu5AN4AaABAg,Talk slowly man.. We are here to learn something.. Not to enjoy the tunes of your speech..,B43YEW2FvDs
UgxMrpEscGuilwmjrjZ4AaABAg,jim nmsl,B43YEW2FvDs
UgyRchoED-MunxJdfgN4AaABAg,jim nmsl,B43YEW2FvDs
UgyQTQCKiPAojz613UB4AaABAg,jim nmsl,B43YEW2FvDs
UgyJGndz-IWul0Bq7EZ4AaABAg,"Thank you Jacob Clifford and Adriene Hill, and CrashCourse team.
I was wondering if it is ethical/legal to localize this content and produce something almost similar in a different language? :)",B43YEW2FvDs
Ugy0bwljmIqOfp63VbZ4AaABAg,Can someone explain to me what the connection of the socialism stuff is to the planned and market economies because my mind is not following at all...,B43YEW2FvDs
UgwJdw7Xc7cjUnfDFux4AaABAg,Here 4 years later. I took economics during winter intercession and it was some things I didn’t retain. Thank you crash course! Being knowledgeable about economics is so vital!,B43YEW2FvDs
Ugzt9eICpGnTx9T1Zh94AaABAg,Slow down Jacob you ain't Sonic the Hedgehog,B43YEW2FvDs
UgwiRV0Q3HEfeE2lUBR4AaABAg,This guy needs to either be replaced or get speaking lectures. The girl does well.,B43YEW2FvDs
Ugx8R2K9gMy7nGRS1jp4AaABAg,Superb! Wink wink!,B43YEW2FvDs
Ugxx7xSu9IbamJXjRHx4AaABAg,1:30 DAS KAPITAL!!!,B43YEW2FvDs
UgwenjJFKoA0j_Gkq9h4AaABAg,"I had to stop, rewind and replay sooooo many of jacob's parts. I get it I'm also a fast talker, and have to remind myself to SLOOOOOWW down",B43YEW2FvDs
Ugw6zuiC06vAID45vhR4AaABAg,The DeLorean is still cool,B43YEW2FvDs
UgypiEOWYvpVEJgeAQF4AaABAg,ACDC belt,B43YEW2FvDs
